Venue1_Id,Venue2_Id,Venue1_Name,Venue2_Name,Venue1_StreetAddress,Venue2_StreetAddress,Similarity
413,631,Shannon Pohl Badminton Academy,Shannon Pohl Badminton Academy / Adversity Volleyball Center,Adversity Volleyball Center 710 Corporate Woods Pkwy,710 Corporate Woods Parkway,0.8333333333333334
419,1419,Sportarena (Sportforum) Berlin,Sportarena ( Sportforum) Berlin,Weißenseer Weg 53,Weißenseer Weg 53,1.0
425,1363,Energia Arena,Vantaa Energia Arena,Rajatorpantie 23,Rajatorpantie 23,0.8
440,840,SGVBC 2 POMONA,SGVBC 2 Pomona,3410 POMONA BLVD,3410 Pomona Blvd,1.0
442,542,ClearOne Badminton Centre,ClearOne Orlando Badminton Centre,4141 N John Young Parkway,4141 N. John Young Parkway,0.8888888888888888
447,528,Istora – Gelora Bung Karno,Istora Gelora Bung Karno Stadium,Senayan,Senayan,0.8333333333333334
450,484,Sportove Centrum M-Sport Trencin,Sportove Centrum M-SPORT Trencin,Ostrov 363,Ostrov 363,1.0
450,731,Sportove Centrum M-Sport Trencin,Sportove centrum M-SPORT,Ostrov 363,Ostrov 363,0.8571428571428571
450,828,Sportove Centrum M-Sport Trencin,Sportove centrum M-Sport,Ostrov 363,Ostrov 363,0.8571428571428571
450,1041,Sportove Centrum M-Sport Trencin,Sportove centrum M-Sport Trencin,Ostrov 363,Ostrov 363,1.0
450,1092,Sportove Centrum M-Sport Trencin,Sportove centrum M-sport Trencin,Ostrov 363,Ostrov 363,1.0
450,1209,Sportove Centrum M-Sport Trencin,Sportove Centrum M-sport Trencin,Ostrov 363,Ostrov 363,1.0
462,566,Sportovni Hala Kralovka,Sportovni hala Kralovka,Nad Kralovskou oborou 51,Nad Kralovskou oborou 51,1.0
473,1221,UCLA - Student Activities Center,UCLA - Student Activities Center (SAC),220 Westwood Plaza,220 Westwood Plaza,0.875
477,552,Gimnasio Municipal Bernardo O´higgins,Gimnasio Bernardo O'higgins,,,0.8
481,723,sgvbc 1,SGVBC,9255 Telstar ave,9255 Telstar Ave,0.8
484,731,Sportove Centrum M-SPORT Trencin,Sportove centrum M-SPORT,Ostrov 363,Ostrov 363,0.8571428571428571
484,828,Sportove Centrum M-SPORT Trencin,Sportove centrum M-Sport,Ostrov 363,Ostrov 363,0.8571428571428571
484,1041,Sportove Centrum M-SPORT Trencin,Sportove centrum M-Sport Trencin,Ostrov 363,Ostrov 363,1.0
484,1092,Sportove Centrum M-SPORT Trencin,Sportove centrum M-sport Trencin,Ostrov 363,Ostrov 363,1.0
484,1209,Sportove Centrum M-SPORT Trencin,Sportove Centrum M-sport Trencin,Ostrov 363,Ostrov 363,1.0
497,1030,PalaBadminton,Palabadminton,Via Giovanni Cimabue 24,Via Giovanni Cimabue 24,1.0
501,539,Egret Badminton Trainig Center,Egret Badminton Center,1251 Basswood Rd,1251 Basswood Rd.,0.8571428571428571
511,1114,High Performance Centre,Badminton High Performance Centre,Av. Vasco da Gama,Av Vasco da Gama,0.875
539,1105,Egret Badminton Center,Egret Badminton,1251 Basswood Rd.,1251 Basswood Rd.,0.8333333333333334
540,581,Hatzor Sport Hall,Kibbutz Hatzor sport hall,Kibbutz Hatzor Ashdod,Kibbutz Hatzor,0.8
540,984,Hatzor Sport Hall,Hatzor sport hall,Kibbutz Hatzor Ashdod,Kibbutz Hatzor-Ashdod,1.0
545,1123,Harbour Pointe Badminton Club,Bellevue Badminton Club (Harbour Pointe),"3616 South Road, Building D","3616 South Road, Building D",0.9
554,671,Federacion Nacional de Badminton de Guatemala,FEDERACION NACIONAL DE BADMINTON,Coliseo Deportivo Ciudad de los Deportes Zona 4,"COLISEO DEPORTIVO, CIUDAD DE LOS DEPORTES ZONA 4",0.9166666666666666
555,1086,coliseo deportivo,COLISEO DEPORTIVO DE BADMINTON,coliseo deportivo ciudad de los deportes zona 4,COLISEO DEPORTIVO CIUDAD DE LOS DEPORTES ZONA 4.,0.8888888888888888
