Venue1_Id,Venue2_Id,Venue_Name1,Venue_Name2,Similarity
1073,1075,Ankara Badminton Olympic Center,Ankara Badminton Olympic center,1.0
1085,1147,Täby Racketcenter,Täby RacketCenter,1.0
1090,1354,SC Sutinska Vrela,SD Sutinska vrela,0.9333333333333333
1092,1209,Sportove centrum M-sport Trencin,Sportove Centrum M-sport Trencin,1.0
1094,1187,Club 28 Badminton,Club28 badminton,1.0
1097,1433,Gospino Polje hall,Gospino Polje Hall,1.0
1099,1417,Westenergie Sporthalle,Westenergiesporthalle,1.0
1102,1371,Langeskov Hallerne,Langeskov hallerne,1.0
1106,1455,Elite Badminton Center,ELITE BADMINTON CENTER,1.0
1120,1186,LONG ISLAND BADMINTON CENTER,LONG ISLAND BADMINTON CENTER (LIBC),0.8064516129032258
1120,1211,LONG ISLAND BADMINTON CENTER,Long Island Badminton Center,1.0
1130,1134,South Jersey Indoor Sports Club,South Jersey Indoor Sports Center,0.8275862068965517
1137,1281,Rowland High School,Rowland HIgh School,1.0
1153,1359,Bacqiang Gymnasium,Binjiang Gymnasium,0.8235294117647058
1154,1446,Sport hall Marino Cvetković,Sport Hall Marino Cvetković,1.0
1186,1211,LONG ISLAND BADMINTON CENTER (LIBC),Long Island Badminton Center,0.8064516129032258
1192,1195,Gymnase Institut Régional de Santé Publique (IRSP Ouidah),Gymnase Institut Régional de Santé Publique )IRSP Ouida)h,0.94
1194,1342,Club28 badminton Philadelphia,Club 28 badminton Philadelphia,1.0
1225,1389,Chicago Badminton Academy,chicago badminton academy,1.0
