Tournament1,Tournament2,SharedPlayers
2010 Yonex Puccini Texas Championships,BCCC Open 2010,40
IDBI Federal Life Insurance Hyderabad Open 2018,IDBI Federal Life Insurance Hyderabad Open 2019,105
IDBI Federal Life Insurance Hyderabad Open 2018,Syed Modi International Badminton Championships 2018,101
IDBI Federal Life Insurance Hyderabad Open 2018,Syed Modi International Badminton Championships 2017,99
IDBI Federal Life Insurance Hyderabad Open 2018,Sushant Chipalkatti Memorial India Junior International Badminton Championships 2015,44
TATA Open India International Challenge 2015,Syed Modi International Badminton Championships 2017,82
TATA Open India International Challenge 2015,Yonex -Sunrise Bangladesh Open International Badminton Challenge 2015,69
YONEX Akita Masters 2018,Osaka International Challenge 2018,84
YONEX Akita Masters 2018,CIPUTRA HANOI - YONEX SUNRISE Vietnam International Challenge 2018,68
YONEX SUNRISE INDONESIA OPEN,INDONESIA OPEN GRAND PRIX GOLD BADMINTON 2012,136
SKYCITY New Zealand Open,SkyCity New Zealand Open 2014,51
Princess Sirivannavari Thailand Masters 2016,SCG Thailand Open,149
Princess Sirivannavari Thailand Masters 2016,Syed Modi International Badminton Championships 2016,92
Princess Sirivannavari Thailand Masters 2016,Princess Sirivannavari Thailand Masters 2017,80
Princess Sirivannavari Thailand Masters 2016,Granular - Thailand International Challenge 2015,73
2012 Wilson Boston Open,2012 PNC Bank Mid-Atlantic Badminton Classic Powered By YONEX,41
2013 K&D Graphics US Adult Nationals,2014 USAB Pan Am Championships Team Trial,13
Yonex OCBC US Open GPG 2012,Yonex Canada Open 2012,52
GBAO,2022 Bay Badminton Championships,10
SJSU 2023 Fall Smashoff,SJSU 2023 Spring Smashoff,92
SJSU 2023 Fall Smashoff,2023 Bay Badminton Championships,70
SJSU 2023 Fall Smashoff,SC Fall Open 2023,58
MBC Chicago Open 2021,2022 MBC Chicago Open,72
MBC Chicago Open 2021,2022 MBC Badminton Championships,33
MBC Chicago Open 2021,Memorial Day Tournament,29
Chicago Open 2017,2018 MBC Chicago Open,61
Chicago Open 2017,2015 MBC Chicago Open,44
2014 Chicago Open,2015 MBC Chicago Open,66
2014 Chicago Open,Elk Grove Badminton Open_2010,12
2018 Madison Open,2019 Steve Rader Open,47
2018 Madison Open,2018 Steve Rader Memorial Open,22
2013 USA Badminton Junior International Trials (JIT),2013 USA Badminton Junior Nationals,137
2019 YONEX Sun God Tournament,UCLA Bruin Open 2019,105
2019 YONEX Sun God Tournament,2018 Yonex Sun God Tournament,90
2019 YONEX Sun God Tournament,2019 Yonex Collegiate Nationals Badminton Championship,24
2015 LABC Chinese New Year Tournament,2015 LABC Summer Bash,54
2012 NorCal Regional Junior Badminton Tournament,2013 USA Badminton Junior Nationals,184
2012 NorCal Regional Junior Badminton Tournament,ZBTC California Junior International Championships,75
2012 NorCal Regional Junior Badminton Tournament,2019 nybc jr tournament,1
Dave Freeman Open 2014,2015 Dave Freeman Open,72
Dave Freeman Open 2014,Dave Freeman Junior 2014,19
Dave Freeman Open 2014,ClearOne Women's Doubles Autumn Classic 2020,1
2013 USA Badminton Junior Nationals,2014 U.S. Junior Nationals,239
2013 USA Badminton Junior Nationals,2014 USAB California Championships - Junior Super Regional,233
2013 USA Badminton Junior Nationals,2012 Northern California Super Regional Badminton Tournament,181
2013 USA Badminton Junior Nationals,2014 USA Badminton Junior International Trials (JIT) u19 - u17,81
2012 Northern California Super Regional Badminton Tournament,UBC NorCal Junior Ranking Tournament,120
2012 Northern California Super Regional Badminton Tournament,Bintang Junior Rec Tournament,16
SJSU Fall Open 2015,2016 MSJ Key Club's 9th Annual Charity Badminton Tournament (CBT),68
SJSU Fall Open 2015,2015 ABC Winter Charity Tournament,32
San Jose State Summer Smashoff 2018,2018 SJSU Fall Smashoff,96
San Jose State Summer Smashoff 2018,UC Davis Fall Open 2018,61
San Jose State Summer Smashoff 2018,2018 American Red Cross Charity Open,59
San Jose State Summer Smashoff 2018,UC Berkeley Golden Bear LXII,46
San Jose State Summer Smashoff 2018,Key Club Badminton Tournament 2018,35
2024 YONEX Sun God Tournament,2024 Yonex Anteater Collegiate Championship,116
2024 YONEX Sun God Tournament,2023 YONEX Sun God Tournament,112
2024 YONEX Sun God Tournament,UC Santa Barbara Spring Open 2023,18
2018 Bay Badminton Championships Classic,2019 Bay Badminton Championships Classic,97
2018 Bay Badminton Championships Classic,2017 Bay Badminton Championships,81
2018 Bay Badminton Championships Classic,Battle of the Birds,40
2018 Bay Badminton Championships Classic,Smash of the Titans 2019,6
2015 MSJ Key Club's 8th Annual Charity Badminton Tournament (CBT),2015 Smash of the Titans,85
2015 MSJ Key Club's 8th Annual Charity Badminton Tournament (CBT),2015 ABC Charity Tournament,37
2015 MSJ Key Club's 8th Annual Charity Badminton Tournament (CBT),2014 Affinity Open,31
2015 MSJ Key Club's 8th Annual Charity Badminton Tournament (CBT),Stefan Carter Memorial Tournament,2
2014 Smash of the Titans,2015 Smash of the Titans,95
2014 Smash of the Titans,2013 NorCal Regional Junior Badminton Tournament,73
2014 Smash of the Titans,2013 Affinity Open,46
2014 Smash of the Titans,EBA Open 2014,42
2014 Smash of the Titans,2013 Inaugural Synergy Open,37
2014 Smash of the Titans,Smash for Charity Badminton Tournament,29
2019 SJSU Spring Smashoff,2019 SJSU Summer Smashoff,95
2019 SJSU Spring Smashoff,2018 SJSU Fall Smashoff,87
2019 SJSU Spring Smashoff,SJSU vs UCSC vs UC Davis Trimeet,26
2019 SJSU Spring Smashoff,UC Berkeley Polar Bear LXIII,18
2019 SJSU Summer Smashoff,2019 SJSU Fall Smashoff,89
UC Davis Fall Open 2018,NCBC Winter Open 2018,11
2017 IBC Open,2018 IBC Open,34
2017 IBC Open,2017 IBC Summer Challenge,32
2017 MD CP Winter Open,NVBC-Evergreen2016,32
Boston Birdies League,Bay State Games 2023,69
Boston Birdies League,TAGB Badminton League 2024,27
Pennsylvania State Open 2015,Pennsylvania State Open 2014,25
Pennsylvania State Open 2015,Lehigh Valley Open,12
Pennsylvania State Open 2015,Black Knight PA State Badminton Championships 2016,8
Pennsylvania State Open 2015,Smashville Tropical BCD,5
National Capital DC OPEN 2013,2012 National Capital (DC) Open,93
National Capital DC OPEN 2013,National Capital DC OPEN 2014,82
National Capital DC OPEN 2013,Evergreen2012,43
National Capital DC OPEN 2013,2011 Rochester Fall Classic,7
Bay State Games 2023,2022 Bay State Games,115
Bay State Games 2023,TANA North East Telugu Badminton League,76
Bay State Games 2023,ATA NE 2022,59
Bay State Games 2023,2023 NORTHEAST MASSBAD OPEN LOCAL CHAMPIONSHIPS,49
Bay State Games 2023,2023 Cambridge Open,45
Bay State Games 2023,MA Senior Games 2023,18
2018 YONEX Boston Open,2017 Yonex Boston Open,77
2018 YONEX Boston Open,Connecticut Open - 2018,24
2012 PNC Bank Mid-Atlantic Badminton Classic Powered By YONEX,2013 Mid-Atlantic Badminton Classic,73
2012 PNC Bank Mid-Atlantic Badminton Classic Powered By YONEX,2011 Mid-Atlantic Badminton Classic,67
2012 PNC Bank Mid-Atlantic Badminton Classic Powered By YONEX,2012 YONEX CPBC New York City Championships,51
2012 PNC Bank Mid-Atlantic Badminton Classic Powered By YONEX,2011 YONEX CPBC New York City Championships,48
2012 PNC Bank Mid-Atlantic Badminton Classic Powered By YONEX,2012 National Capital (DC) Open,46
2011 Maryland Junior Open,2010 New England Junior Open,43
2011 Maryland Junior Open,Mid-Atlantic Jrs - Collegiate 2011,24
PA State Badminton Championships 2018,2020 Mid-Atlantic Classic Powered by Yonex,16
PA State Badminton Championships 2018,Smashville B-DAY & Biryani 2018,2
2019 IBC Open,2018 IBC Open,39
2019 IBC Open,2021 IBC Summer Challenge,31
2019 IBC Open,2019 IBC Summer Challenge,30
Club28 Yonex Open,CLUB28 YONEX OPEN 2018,25
Club28 Yonex Open,pastates17,14
2020 Mid-Atlantic Classic Powered by Yonex,The winner badminton tournament,47
2020 Mid-Atlantic Classic Powered by Yonex,CLUB28 YONEX OPEN 2018,42
2020 Mid-Atlantic Classic Powered by Yonex,2019 NY OPEN-Downey Cup,27
2020 Mid-Atlantic Classic Powered by Yonex,PA State Badminton Championships 2019,6
Massbad Doubles Tournament 2021 (MBDT),2021 Bay State Games,71
Massbad Doubles Tournament 2021 (MBDT),2019_chunjie,4
2021 Bay State Games,2022 Bay State Games,78
2021 Bay State Games,2019 Bay State Games,57
2012 YONEX IBC Junior Championship (USAB Sanctioned Junior Ranking Tournament),MDJO2013,27
2014 Bay State Games,2015 Bay State Games,59
2014 Bay State Games,BayState2013,48
2014 Bay State Games,BayState2012,39
2014 Bay State Games,Harold Seavey Masters 2017,15
2014 Bay State Games,2016 Mass Senior Games (Maugus),14
2014 Bay State Games,Mass Senior Games 2021 Badminton,11
2014 Bay State Games,Harold Seavey Masters 2015,10
BayState2013,Mass Senior Badminton 2015 (Maugus Club),12
2015 National Capital DC Open,National Capital DC OPEN 2014,68
2015 National Capital DC Open,UMD Open 2014,37
2015 National Capital DC Open,2017 DC Open,30
2015 National Capital DC Open,2020 DC Open,4
2013 Mid-Atlantic Badminton Classic,2012 YONEX IBC Open,41
2013 Mid-Atlantic Badminton Classic,2013 YONEX IBC Open,33
2013 Mid-Atlantic Badminton Classic,2014 Mid-Atlantic Badminton Classic - Powered by YONEX,30
2013 Mid-Atlantic Badminton Classic,2015 Mid-Atlantic Badminton Classic - Powered by YONEX,26
2013 Mid-Atlantic Badminton Classic,2012 NJ Badminton Doubles Championships,23
2013 Mid-Atlantic Badminton Classic,Aces Shuttles Pennsylvania State Open 2013,22
2013 Mid-Atlantic Badminton Classic,2013 IBC Summer Challenge - Power by Yonex - Adult,20
2013 Mid-Atlantic Badminton Classic,Pennsylvania State Open 2014,17
2013 Mid-Atlantic Badminton Classic,2014 Suffolk County Community College Long Island Challange,13
2011 Mid-Atlantic Badminton Classic,2010 YONEX CPBC New York City Championships,40
2011 Mid-Atlantic Badminton Classic,2011 NYCB-YONEX Championship,37
2012 Northwest Super Regional Junior Badminton Tournament,Seattle jr national ranking,27
2012 Northwest Super Regional Junior Badminton Tournament,Wa Junior Open 2011,25
2012 Northwest Super Regional Junior Badminton Tournament,Seattle Open 2012 - $5000 Total Prizes,19
TMM Badminton 2023,TANA North East Telugu Badminton League,52
2010 YONEX CPBC New York City Championships,2010 NEW YORK Badminton OPEN - Downey Cup,40
2010 YONEX CPBC New York City Championships,2011 CPBC Club Challenge,27
2017 Yonex Boston Open,Connecticut Open - 2017,23
ATA NE 2022,TAGB Invitational Badminton tournament,8
2022 Bay State Games,Massachusetts Senior Games 2022,14
2011 New England Junior Open,New England Junior Open (NEJO) Super Regional 2012,63
2011 New England Junior Open,2010 New England Junior Open,61
2011 New England Junior Open,2011 YONEX CPBC Junior Championships (USAB Sanctioned Junior Ranking Tournament),21
Puccini Texas Championship 2011,2011 Texins Badminton Open,51
Puccini Texas Championship 2011,2012 Puccini Texas Championship,50
The 6th SAERO Badminton Championship 2023,The 5th OC Badminton Tournament,38
2017 Smash Lunar New Year Tournament,2016 Dave Freeman Open,57
2018 SGVBC Summer Smash,2018 LABC Summer Bash,92
2018 SGVBC Summer Smash,Kalayaan Cup 2018,60
2018 SGVBC Summer Smash,2018 Angry Birdies Yonex Super Smash,43
UCLA Bruin Open 2013,2013 LABC Chinese New Year Tournament,42
2013 LABC Summer Bash Tournament,2013 LABC Chinese New Year Tournament,75
