Tournament1,Tournament2,SharedPlayers
VICTOR Latvia International 2023,RSL Lithuanian International 2023,98
ABO 2019,ABO 2018,45
ABO 2019,Shuttle Masters 2019,14
ABO 2019,GATS 2020,12
GATA Badminton Tournament - 2023,ABO 2023,47
ABO 2018,Atlanta Badminton Spring Open 2018,37
ABO 2018,Atlanta Badminton Open 2017,32
Malta International 2022 presented by VICTOR,RSL Lithuanian International 2023,58
Klaipedos badmintonui 50,Rishon Le Zion- Double Level C,2
YONEX Sydney International 2022,YONEX Bendigo International 2022,106
YONEX Sydney International 2022,VICTOR Oceania Championships 2024,60
2016 Sin City Shootout,2016 David Cup,20
2017 Summer Smash,2017 Charlotte Open,29
BNC Club Championship 2018,BNC OPEN 2018,53
2017 Charlotte Open,2018 Charlotte Open,64
2018 Charlotte Open,2019 Charlotte Winter Smash,25
SMASHBOUNCE ATLANTA BADMINTON OPEN - SBABO 2022,ABO 2023,85
SMASHBOUNCE ATLANTA BADMINTON OPEN - SBABO 2022,GATES-ATA Badminton Tournament,41
SMASHBOUNCE ATLANTA BADMINTON OPEN - SBABO 2022,SMASHBOUNCE BACK TO SCHOOL 2022 (GEORGIA),27
SMASHBOUNCE ATLANTA BADMINTON OPEN - SBABO 2022,UGA Spring Intercollegiate,12
GBC OPEN 2022,GBC OPEN 2023,41
GBC OPEN 2022,GBC 40TH ANNIVERSARY LOCAL TOURNAMENT,21
GBC OPEN 2022,GBC INTERNAL TOURNAMENT 2023,13
GBC OPEN 2022,FOMAA Southeast Region Badminton Tournament 2022,2
2024 Club7 Local Tournament,CKB Badminton Tournament 2024,3
Club 28 Philadelphia Open - 15K Cash prize,2024 NY CHAMPIONSHIP - FH FAMILY FUNDED,43
Club 28 Philadelphia Open - 15K Cash prize,Club28 Coatesville Doubles Challenge,31
Club 28 Philadelphia Open - 15K Cash prize,Club 28 spring challenge,31
Atlanta Badminton Open 2017,2017 Georgia Games,18
ABO 2023,Nets and Turf Annual Badminton Championship 2023,67
ABO 2023,2024 TBTT SOUTH CLOSED REGIONAL CHAMPIONSHIPS,46
ABO 2023,ATM Badminton Tournament 2023,43
ABSI2023,Apple Badminton Open 2022,19
ABSI2023,XiYu SBBC team tournament,2
2024 NY CHAMPIONSHIP - FH FAMILY FUNDED,"2023 Summer Junior Tournament (Limited to NYBC, LIBC and BKBC Students only)",39
2024 NY CHAMPIONSHIP - FH FAMILY FUNDED,2023 NY OPEN - JUNIOR CHAMPIONSHIP,9
2023 MBBC Junior International Championship,2023 YONEX SGVBC SOCAL CLOSED REGIONAL CHAMPIONSHIPS,57
2023 Baddixx David Cup,2022 Baddixx David Cup,65
2022 SOCAL SGVBC CLOSED REGIONAL CHAMPIONSHIPS,2022 SOCAL ARENA CLOSED REGIONAL CHAMPIONSHIPS,72
2020 ROYAL DC JUNIOR CLOSED REGIONAL CHAMPIONSHIPS,2018 ROYAL DC JUNIOR OPEN LOCAL CHAMPIONSHIPS,39
2020 ROYAL DC JUNIOR CLOSED REGIONAL CHAMPIONSHIPS,2019 QBC OPEN LOCAL CHAMPIONSHIPS,31
New Hope Badminton Academy Grand Opening Tournament,Club 28 spring challenge,15
The winner badminton tournament,SJISC Yonex Cup March 2022,42
The winner badminton tournament,Durabird PA States 2021 (Physically distanced),31
The winner badminton tournament,The Winner Badminton Championships,7
Durabird Physically Distanced PA States 2020,2021 Durabird Indian Independence Day Tourni,7
Elk Grove Badminton Open_2010,Elk Grove 2011 Badminton Open,22
Elk Grove Badminton Open_2010,2012 First Quality Mortgage Badminton Open,8
2024 AMERICAN BADMINTON CONSORTIUM OPEN LOCAL CHAMPIONSHIPS,RisingStars - Sonic Smash Mini Series #2,64
2024 AMERICAN BADMINTON CONSORTIUM OPEN LOCAL CHAMPIONSHIPS,RisingStars Elite Sparring Series #3-2,32
2024 AMERICAN BADMINTON CONSORTIUM OPEN LOCAL CHAMPIONSHIPS,RisingStars - Sonic Smash Mini Series #3,26
2024 AMERICAN BADMINTON CONSORTIUM OPEN LOCAL CHAMPIONSHIPS,NorCal Youth Development League - Fall Season,23
2024 AMERICAN BADMINTON CONSORTIUM OPEN LOCAL CHAMPIONSHIPS,NorCal Youth Badminton Development League - 2023 Spring Season,14
Ridgeback Intra Squad November 4,Ridgeback University Challenge 2018,15
2022 Valle Vista League Finals,2023 Valle Vista League Finals,27
2022 Valle Vista League Finals,2022 Nova Scotia Quidditch Cup,4
2019 MBC Chicago Open,2019 MBC Holiday Smash Badminton Open,22
Mainline Doubles 2023,Main Line Doubles 2024,19
2015 BBC Member Appreciation Tournament,2015 NW Junior Regional 10%,13
2011 Spring RBC Tournament,2011 Alumni Tournament,3
2011 Spring RBC Tournament,RBC Spring Tournament,2
Alumni Tournament 2010,2011 Alumni Tournament,15
2019 Ryerson Summer Open,"2022 Elite Singles Games Challenges Feb.28, 2022",4
Badminton Asia U17 & U15 Junior Championships 2023,TOYOTA Gazoo Racing Badminton Asia U17 & U15 Junior Championships 2022,114
II El Salvador International 2019,VI Guatemala Junior International 2019,15
Bénin International 2023,Bénin International 2022,42
Bénin International 2023,Bénin Junior International 2023,22
PBLV Las Vegas Winner-Take-All,August (Part 1) Relay Games,21
PBLV Las Vegas Winner-Take-All,Serve 2 Serve 2015,19
Canadian Junior International 2019,Canadian Junior International,17
2016 Lehigh Valley Open,2016 IBC Spring Challenge,12
Elk Grove 2011 Badminton Open,Chicago City Open 2010,6
Jim Poole Classic 2024,Arizona Junior Summer Championship 2023,6
Michigan Open 2019,2018 Ann Arbor Open,32
Michigan Open 2019,Meijers Winter Games 2022,13
2015 Ann Arbor Open,2016 Daniel Leung Memorial Tournament,39
2015 Ann Arbor Open,2015 Michigan State Games,14
2018 Daniel Leung Memorial,2018 Ann Arbor Open,46
2018 Daniel Leung Memorial,2017 Ann Arbor Open,45
2018 Daniel Leung Memorial,2016 Ann Arbor Open,37
2018 Daniel Leung Memorial,Michigan Open 2018,34
UofM Open FA2019,2019 Michigan Open,33
2016 Ann Arbor Open,2016 Daniel Leung Memorial Tournament,42
2016 Ann Arbor Open,2017 Daniel Leung Memorial,38
2022 SPARC Open,Meijers Winter Games 2022,14
2017 MSU Open,2017 Ann Arbor Open,26
2019 Ann Arbor Spring Smash,2018 Ann Arbor Open,40
2019 Ann Arbor Spring Smash,VT Seva Badminton Tournment 2022,4
2016 Meijer State Games,2016 Daniel Leung Memorial Tournament,16
2016 Meijer State Games,2017 State Games of America,11
2023 MBC Chicago Open,Yonex Cup 2023 @ Egret,52
2023 MBC Chicago Open,2023 MBC Spring Open,49
2023 MBC Chicago Open,UChicago Firebird Open 2024,28
2023 MBC Chicago Open,Fall UIUC Open 2023,24
2023 MBC Chicago Open,Forever Young Senior Games,8
2018 Ann Arbor Open,2019 Ann Arbor Open,34
2018 Ann Arbor Open,2019 Michigan Open,30
2023 Madison Open,Steve Rader Memorial Open 2023,27
2023 Madison Open,UChicago Firebird Open 2024,24
2023 Madison Open,Mad Town Badminton Open 2024,8
2018 Steve Rader Memorial Open,2016 Madison Open,24
2021 Canada Elite Badminton Christmas Holiday Tournaments,"2022 Canada Elite Badminton Singles Winter Challenges Feb.7, 2022",9
2021 Canada Elite Badminton Christmas Holiday Tournaments,2022 Canada Elite Badminton Doubles Fundraiser June 12 2022,8
2021 Canada Elite Badminton Christmas Holiday Tournaments,"2022 Canada Elite Badminton Valentines Mixed Tournaments Feb.12, 2022",7
2021 Canada Elite Badminton Christmas Holiday Tournaments,2022 Elite Doubles/Mixed Winter Challenges Feb 13 2022,7
SJSU vs UCSC vs UC Davis Trimeet,UC Merced vs UC Santa Cruz vs SJSU,21
2016 Madison Open,2017 Steve Rader Memorial,27
PLAY N THRIVE SUMMER OPEN,2018 PNT Open,9
2017 PBCA Kalayaan Cup,2017 PBCA BAD BOYS,48
2017 PBCA Kalayaan Cup,2017 PBCA DIVA,28
2017 PBCA Kalayaan Cup,2017 PBCA VALENTINES DAY TOURNAMENT,22
2017 PBCA Kalayaan Cup,PBLV Open 2018,20
2017 PBCA Kalayaan Cup,PBLV OPEN 2017,16
2016 Northwest Jr Regional,SBC Junior Open Tournament,64
2017 Georgia Games,2015 Georgia Games,21
"2023 NVBC OPEN C - D DIVISION,JR U11-U17 & SENIORS",KAGW SMASH 2024,7
2023 EDBA Junior Fall Open,EDBA Spring Junior Tournament,14
2023 EDBA Junior Fall Open,"2019 EDBA Junior Tournament-Nov16-17, 2019",8
Valley Forge Baptist Open 2013,Aces Shuttles Pennsylvania State Open 2013,14
pastates17,Sewa 1st Annual Badminton Charity Tournament,6
pastates17,Smashville Birthday Championships,2
Aces Shuttles Pennsylvania State Open 2013,Kimberton Wild Turkey Smashout Fundraiser Doubles,16
OBA Yonex Cup 2023,Oregon Open Badminton Championship 2024,9
OBA Yonex Cup 2023,Rose City Badminton Tournament 2018,5
XXX Pan Am Junior Championships 2022 (U13 - U19),XXX Pan Am Junior Championships 2022 U19,83
XXX Pan Am Junior Championships 2022 (U13 - U19),XXXI YONEX Pan Am Junior Championships 2023 (U13 - U19),73
XXX Pan Am Junior Championships 2022 (U13 - U19),XXIX Pan Am Junior Championships 2021,52
BCC Winter Challenge 2015,BCC Spring Classic 2015,39
August (Part 1) Relay Games,PBLV October Relay Games,16
Pikes Peak Open 2024,BBC Annual Tournament 2024,30
Pikes Peak Open 2024,BBC Annual Tournament 2023,26
2015 Fort Collins Open,2016 Fort Collins Badminton Open,38
2018 EDBA Open,2017 EDBA Badminton Open,32
2018 EDBA Open,2019 EDBA Open,24
2018 EDBA Open,EDBA Adult Tournament Feburary 2024,6
2019 EDBA Fall Junior Open,2020 EDBA Junior Open,51
2019 EDBA Fall Junior Open,"2019 EDBA Junior Tournament-Nov16-17, 2019",38
VICTOR Oceania Championships 2019,VICTOR Oceania Championships 2020,53
VICTOR Oceania Junior Championships 2019,VICTOR Oceania Championships 2020,40
VICTOR Oceania Junior Championships 2019,Australian Junior International 2019,24
GATS 2023 Badminton Tournament,Nets and Turf Annual Badminton Championship 2023,43
GATS 2023 Badminton Tournament,Sewa Women's Championship 2022 - Above 20 yrs,1
XXXI YONEX Pan Am Junior Championships 2023 (U13 - U19),XXXI YONEX Pan Am Junior Championships 2023 U19,97
XXXI YONEX Pan Am Junior Championships 2023 (U13 - U19),BWF World Junior Championships 2023,41
XXXI YONEX Pan Am Junior Championships 2023 (U13 - U19),X Guatemala International U19 2024,17
XD Sparring 061723,XD Sparring 061023,4
Apple Badminton Open 2022,ABSO2024,20
XVIII Giraldilla International,XIX Giraldilla Tournament,18
GUATEMALA FUTURE SERIES 2017,III Guatemala Junior Internacional 2016,25
GUATEMALA FUTURE SERIES 2017,Guatemala Future Series 2019,22
BBC Annual Tournament 2016,2016 Fort Collins Badminton Open,34
Skylar Sun Sports GREATER AUSTIN badminton Junior Open 2019,DFW SOUTH OPEN LOCAL CHAMPIONSHIPS,23
Skylar Sun Sports GREATER AUSTIN badminton Junior Open 2019,2018 Skylar Sun Sports Greater Austin Badminton Junior Open,20
Skylar Sun Sports GREATER AUSTIN badminton Junior Open 2019,GREATER AUSTIN badminton Junior Open 2020,7
2019 Lone Star Youth Badminton Tournament,DFW SOUTH OPEN LOCAL CHAMPIONSHIPS,34
2019 Lone Star Youth Badminton Tournament,2018 Lone Star Youth Badminton Tournament,18
2022 YONEX USAB FRISCO SOUTH OPEN REGIONAL CHAMPIONSHIPS,2021 ARC SOUTH OPEN LOCAL CHAMPIONSHIPS,64
DFW SOUTH OPEN LOCAL CHAMPIONSHIPS,2020 Houston South Closed Regional Championships,75
DFW SOUTH OPEN LOCAL CHAMPIONSHIPS,2018 Plano South Open Local Championships,37
DFW SOUTH OPEN LOCAL CHAMPIONSHIPS,2019 Frisco Junior Open,34
DFW SOUTH OPEN LOCAL CHAMPIONSHIPS,2018 Frisco Junior Open,29
PBCA Oktoberfest 2018 Toma-ment,Couples & Friends Badminton Tournament,22
PBLV Open 2018,Serve2Serve 2018,15
BBC Annual Tournament 2023,Rocky Mountain State Games 2023,25
BBC Annual Tournament 2022,Fort Collins Badminton Tournament 2023,23
2019 PBCA Li-Ning Autumn Mix,2019 PBCA OktoBEERfest,56
2016 David Cup,2016 PBCA MISS DIVA BADMINTON UNIVERSE,13
YONEX Luxembourg Open 2024,STATE Denmark Challenge 2024 presented by RSL,119
CROWNE PLAZA Northern Marianas Open 2023,TAKECARE Saipan International 2023,159
CROWNE PLAZA Northern Marianas Open 2023,VICTOR Kaohsiung Masters 2024,60
YONEX Bendigo International 2022,VICTOR North Harbour International 2022,104
Dominican Open 2018,III Santo Domingo Junior International 2018,19
FZ FORZA Norwegian International 2022,FZ FORZA Norwegian International 2023,60
All England Junior Badminton Championships 2023,2021 European U17 Championships,35
Italian Junior 2023,YONEX German Junior 2023,49
Brazil International Series 2022,Brazil International Series 2021,34
RaiderSmash Fall 2017,UCF Fall 2019 Tournament,8
INFOSYS FOUNDATION India International Challenge 2021,South Asia Under 21 Regional Badminton Championships 2019,11
VICTOR Oceania Championships 2024,VICTOR Oceania Championships 2022 (New dates),57
VICTOR Oceania Championships 2024,VICTOR Oceania Championships 2023,52
VICTOR Oceania Championships 2024,VICTOR Oceania Junior Championships 2023,37
2017-18 Shuttlesport Junior B Curcuit - Tournament #2A,2017-18 Shuttlesport Junior B Circuit - Tournament #3,35
2017-18 Shuttlesport Junior B Circuit - Tournament #1,2017-18 Shuttlesport Junior B Circuit - Tournament #3,38
2019 Angry Birdies Yonex Super Smash,2019 SOCAL ARENA CLOSED REGIONAL CHAMPIONSHIPS,54
"2023 Summer Junior Tournament (Limited to NYBC, LIBC and BKBC Students only)",2022 LIBC & NYBC Junior Tournament,39
2019 Ryerson Winter Open,Ridgeback University Challenge 2018,47
Cerritos Varsity Tournament 2023,Southern Section Individual Championships 2023,72
Cerritos Varsity Tournament 2023,2022 Raider JV Invitational,9
2016 LABC Junior Open,2017 SGVBC Junior Open,83
2021 XIAOKE CUP POWERED BY YONEX,2021 IBC Summer Challenge,34
Kimberton Wild Turkey Smashout Fundraiser Doubles,Memorial Doubles Smashville Fundraiser,18
Smashville Birthday Tourni 2021,Durabird PA States 2022,13
Smashville Birthday Tourni 2021,Smashville B-DAY Tourni 2019,4
Durabird PA States 2023,CLub 28 Sep 3 tournament,25
Durabird PA States 2023,Club28 Coatesville Doubles Challenge,24
Durabird PA States 2023,PA State High & Middle School Badminton Championships,4
Durabird PA States 2022,Durabird PA States 2021 (Physically distanced),18
Durabird PA States 2022,Smashville Professional League Spring 2022,3
Sewa 1st Annual Badminton Charity Tournament,Sewa 2nd Annual Badminton Charity Tournament,7
Archie's Valley Forge Baptist open 2016,2016 IBC Spring Challenge,16
Durabird PA States 2021 (Physically distanced),2021 Durabird Indian Independence Day Tourni,18
TAGB Invitational Badminton tournament,TAGB_2017,12
2022 Massbad Junior Open,2023 NORTHEAST MASSBAD OPEN LOCAL CHAMPIONSHIPS,49
2023 NORTHEAST MASSBAD OPEN LOCAL CHAMPIONSHIPS,2024 NORTHEAST MASSBAD OPEN LOCAL CHAMPIONSHIPS,72
2023 YONEX LONG ISLAND SPORTS CENTER NORTHEAST OPEN REGIONAL CHAMPIONSHIPS U13 & U15,2021 YONEX NORTHEAST IBC OPEN REGIONAL CHAMPIONSHIPS U11 - U13,41
2023 NORTHEAST NJBC OPEN LOCAL CHAMPIONSHIPS,2022 USAB NE OPEN LOCAL CHAMPIONSHIPS,67
2024 NORTHEAST MASSBAD OPEN LOCAL CHAMPIONSHIPS,2024 NJBC NE CRC,78
2023 SOUTH OPEN LOCAL CHAMPIONSHIPS,2023 TBTT SOUTH OPEN LOCAL CHAMPIONSHIPS,100
2022 Baddixx David Cup,Bad Boys meet Divas 2022,43
Lethbridge Invitational 2024 Intermediate,2024 Lethbridge HS City Playdowns,36
South Zone Badminton Singles 24,2024 Lethbridge HS City Playdowns,20
VICTOR EXIST Jakarta Open Junior International Championships 2017,PEMBANGUNAN JAYA RAYA International Junior Grand Prix 2017 (U19),134
FZ FORZA Irish U19 Open 2017,U19 Irish Open 2018,44
Hellas Junior International 2018,Cyprus Junior 2018,56
Hellas Junior International 2018,Hellas Junior 2017,35
U19 Irish Open 2018,2018 European Junior Championships,39
U19 Irish Open 2018,FZ FORZA U19 Irish Open 2019,37
Bulgarian Junior Open Championship 2023,2021 European U17 Championships,22
KB FINANCIAL GROUP Indonesia Masters 2022,KAPAL API Indonesia International Series 2022,90
LI NING Sri Lanka International Challenge 2024,LI NING Sri Lanka International Series 2024,184
BAT - YONEX - C&L Pathumthani Junior International Series 2022,BAT YONEX Pathumthani Junior International Series 2023,278
BAT - YONEX - C&L Pathumthani Junior International Series 2022,TOYOTA Gazoo Racing Badminton Asia U17 & U15 Junior Championships 2022,223
BAT - YONEX - C&L Pathumthani Junior International Series 2022,Badminton Asia ( Southeast Asia) Regional Championships 2023 (Individual Event),3
WONCHEON YONEX Korea Junior International Challenge 2023,WONCHEON YONEX Korea Junior International Series 2022,174
WONCHEON YONEX Korea Junior International Challenge 2023,MIRYANG WONCHEON YONEX Korea Junior Open International Challenge 2018,111
WONCHEON YONEX Korea Junior International Challenge 2023,BAT YONEX Pathumthani Junior International Series 2023,92
BWF World Junior Championships 2023,YONEX German Junior 2023,110
BWF World Junior Championships 2023,2021 European U17 Championships,92
YONEX-SINGHA-bty Junior International Series 2023,BAT YONEX Pathumthani Junior International Series 2023,150
KAPAL API Indonesia International Series 2022,XPORA Indonesia International Challenge 2023,79
KAPAL API Indonesia International Series 2022,PEMBANGUNAN JAYA RAYA Junior Grand Prix 2018,78
2021 IBC Holiday Friends and Family,2021 IBC Summer Challenge,15
2021 IBC Summer Challenge,2021 IBC YONEX Cup,45
2023 IBC Spring Challenge,2023 IBC Summer Mixed Double Challenge,9
2017 South Open Regional Championships,2016 Junior Southern Open,10
2023 MNBA Youth Badminton Open,2023 MNBA Open,9
BWF World Junior Championship 2019,Badminton Asia Junior Championships 2019 (Individual Event),129
BWF World Junior Championship 2019,YONEX German Junior 2019,123
BWF World Junior Championship 2019,RSL Lithuanian Junior 2019,26
BWF World Junior Championship 2019,Russian Junior White Nights 2019,24
BBC Annual Tournament 2024,Fort Collins Badminton Tournament 2023,26
III Mexico Future Series 2023,IV Mexican International Challenge 2024,34
Peterborough_junior_2018,Ptbo_Junior_2019,11
PEMBANGUNAN JAYA RAYA Junior Grand Prix 2018,OUE Singapore Youth International Series 2017,132
PEMBANGUNAN JAYA RAYA Junior Grand Prix 2018,Blibli.com Badminton Asia U17 & U15 Junior Championships 2016,107
PEMBANGUNAN JAYA RAYA Junior Grand Prix 2018,CELCOM AXIATA Malaysia International Junior Open 2018,98
PEMBANGUNAN JAYA RAYA Junior Grand Prix 2018,Badminton Asia U17 & U15 Junior Championships 2017,88
IV YONEX Mexican International U19 2018,III YONEX Mexican International U19,22
Danish Junior Cup U17 2022,VICTOR Denmark Junior (U17) 2022,71
VICTOR Denmark Junior (U17) 2023,Danish Junior Cup U17 2023,57
VICTOR Denmark Junior (U17) 2023,VICTOR Denmark Junior (U17) 2022,28
Swedish Youth Games (U17) 2022,VICTOR Denmark Junior (U17) 2022,44
Boba-minton Open 2024,BBC Fall Membership Appreciation Event 2019,5
2023 MNBA Open,2023 Iowa Open Badminton Championships,30
Shuttle Masters 2019,GATS Badminton 2019,1
Main Line Doubles 2024,Club 28 spring challenge,17
OUE Singapore Youth International Series 2017,Singapore Youth International Series 2018,142
LI NING Sri Lanka International Series 2024,Badminton Asia South Asia Regional Junior Championships 2022 (Individual),8
Korea Junior Open Badminton Championships 2012,Korea Junior Open Badminton Championships 2013 (U19),63
Carebaco U19 International,"CAREBACO Junior 2016 under 11,13,15,17,19 years",22
"CAREBACO Junior 2016 under 11,13,15,17,19 years",CAREBACO CHAMPIONSHIPS 2015 U15-U19,31
"CAREBACO Junior 2016 under 11,13,15,17,19 years",CAREBACO Junior Individual Championships U11 - U17,15
XXIX Pan Am Junior Championships U19 2021,XXIX Pan Am Junior Championships 2021,52
XXIX Pan Am Junior Championships 2021,V Mexican International U19 2021,13
I Peru Junior Internacional U19 2014,I Open Junior Argentina 2014,7
I Peru Junior Internacional U19 2014,XIX Juegos Nacionales Juveniles 2013,2
2018 EGRET OPEN LOCAL CHAMPIONSHIPS,2019 MBC CLOSED REGIONAL CHAMPIONSHIPS,71
Swedish Junior 2018,2018 European Junior Championships,60
IBERDROLA Spanish Junior 2018,IX Spanish Junior 2017,50
IBERDROLA Spanish Junior 2018,X Portuguese International Junior Championships,47
IBERDROLA Spanish Junior 2018,2018 European Junior Championships,46
IBERDROLA Spanish Junior 2018,YONEX Italian Junior 2017,42
IBERDROLA Spanish Junior 2018,XIII IBERDROLA Spanish Junior International 2019,39
IV RANKING NACIONAL FDPB 2015,III RANKING NACIONAL,25
IV RANKING NACIONAL FDPB 2015,Campeonato Nacional Infantil-Juvenil 2015,19
FZ FORZA Alpes International U19 2019,YONEX German Junior 2020,37
FZ FORZA Alpes International U19 2019,3 Borders International Junior 2018,35
YONEX Italian Junior 2018,2018 European Junior Championships,68
II RANKING DE MENORES 2013,III RANKING NACIONAL,29
II RANKING DE MENORES 2013,I Ranking - Clasificatorio a los Juegos Suramericanos Juveniles,5
Gator Slam 2022,Gator Smash 2022,26
Gator Slam 2022,Gator Smash 2021,23
Southern Section Individual Championships 2023,2023 Valle Vista League Finals,19
UGA Fall Intercollegiate,UGA Spring Intercollegiate,28
UGA Spring Intercollegiate Tournament 2023,UGA Spring Intercollegiate,27
2023 Emory Collegiate Open,2024 Emory Collegiate Open,15
UGA Spring Intercollegiate,2024 Emory Collegiate Open,40
UGA Spring Intercollegiate,2nd Annual Alaska State School Championship,1
CLub 28 Sep 3 tournament,"Club 28 open (for D,E,F level)",22
CLub 28 Sep 3 tournament,2024 Philadelphia Chinatown badminton by Club 28,5
2023 NORTHEAST NVBC OPEN LOCAL CHAMPIONSHIPS,2023 NVBC JR OPEN,45
Israel Junior International Badminton tournament 2012,ISRAEL JUNIOR INTERNATIONAL 2013,30
Israel Junior International Badminton tournament 2012,ISRAEL JUNIOR 2014(U-19),16
Hellas Junior 2015,Turkey Junior 2014,27
Hellas Junior 2015,BALKAN CHAMPIONSHIP U19 2016,20
Estonian Junior 2014,Yonex Estonian Junior 2015,19
Pikes Peak Open 2022,Pikes Peak Open 2021,28
One Stop Outdoor Construction Badminton Tournament,Ismashan sa Houston 2022,35
TOYOTA Gazoo Racing Badminton Asia U17 & U15 Junior Championships 2022,PEMBANGUNAN JAYA RAYA Junior International Challenge 2022,124
TOYOTA Gazoo Racing Badminton Asia U17 & U15 Junior Championships 2022,BNI Badminton Asia Junior Championships 2024 (Individual),107
TOYOTA Gazoo Racing Badminton Asia U17 & U15 Junior Championships 2022,Malaysia Junior International Challenge 2023,62
TOYOTA Gazoo Racing Badminton Asia U17 & U15 Junior Championships 2022,KOTAK India Junior International Series 2023,33
TOYOTA Gazoo Racing Badminton Asia U17 & U15 Junior Championships 2022,Mongolia Junior International Series 2023,15
Pikes Peak Open 2021,BBC Kids Tournament 2021 (Sun),2
Summer Wild Card Ranking,November Wild Card Ranking,22
IX Spanish Junior 2017,VIII Portuguese Junior 2016,47
IX Spanish Junior 2017,XI Spanish Junior 2016,20
X Portuguese International Junior Championships,XI Portuguese International Junior Championships 2019,44
YONEX Belgian Junior 2016,YONEX Dutch Junior 2017,69
Yonex Belgian Junior 2018,YONEX Dutch Junior International 2019,52
VIII Portuguese Junior 2016,VII Portuguese Junior 2015,64
VIII Portuguese Junior 2016,IX Portuguese Junior 2017,50
Yonex Dutch Junior 2014,YONEX BELGIAN JUNIOR 2013,47
SAINT-DENIS Réunion Open 2022,All Africa Junior Individual Championships 2022,13
Croatian Junior International 2013,Victor Slovak Junior 2013,32
YONEX BELGIAN JUNIOR 2013,IV Italian Junior International 2014,29
Northwest Junior Open 2021,NORTHWEST CLOSED REGIONAL CHAMPIONSHIPS,73
2024 TBTT SOUTH CLOSED REGIONAL CHAMPIONSHIPS,2023 TBTT SOUTH OPEN LOCAL CHAMPIONSHIPS,102
2024 TBTT SOUTH CLOSED REGIONAL CHAMPIONSHIPS,2023 SOUTH CLOSED REGIONAL CHAMPIONSHIPS,87
2023 OREGON BADMINTON ACADEMY OPEN LOCAL CHAMPIONSHIPS,OBA Yonex Cup Junior Tournament,16
Serbian U17 International - NOVI SAD 2021,2021 European U17 Championships,78
Serbian U17 International - NOVI SAD 2021,Serbian U17 International - NOVI SAD 2020 (New Dates),19
2021 European U17 Championships,2022 European Junior Championships,118
2021 European U17 Championships,2020 European U15 Championships,85
2021 European U17 Championships,Bulgarian U17 International 2021,80
2021 European U17 Championships,Austrian U17 Open 2021,61
2021 European U17 Championships,Polish U17 International 2021,54
2021 European U17 Championships,Danish Junior Cup 2023,42
2021 European U17 Championships,YONEX Latvia U17 International 2021,25
2021 European U17 Championships,RSL Lithuanian U17 International 2019,21
YONEX France U17 Open 2020,ADIDAS Alpes International U19 2022,58
Polish U17 International 2021,Polish U17 Open 2021,47
ADIDAS Alpes International U19 2022,YONEX 3 Borders International U19 2022 (New dates),78
ADIDAS Alpes International U19 2022,2022 European Junior Championships,65
ADIDAS Alpes International U19 2022,FZ FORZA Alpes International U19 2023,56
ADIDAS Alpes International U19 2022,FZ FORZA Alpes International U19 2021(New dates),41
Bulgarian U17 International 2021,HEBAR U17 Bulgarian Open 2021(New dates),77
Cyprus Junior 2022,2022 European Junior Championships,37
Peterborough_Junior_2024,PeterboroughJunior2020,2
RSL Lithuanian International 2023,YONEX Latvia International 2022 (New dates),69
Adria U17 International 2024,OLIVER Czech U17 International 2024,54
LI-NING Medvode Cup U17 2023,Adria U17 International 2023,33
YONEX German Junior 2016,YONEX Dutch Junior 2016,83
YONEX Dutch Junior 2016,YONEX Dutch Junior 2017,52
Sushant Chipalkatti Memorial India Junior International Badminton Championships 2013,Badminton Asia Youth U17 & U15 Championships 2012,11
2015 Lone Star Youth tournament,2016 Imprint Lone Star Youth Badminton Tournament,17
2024 Emory Collegiate Open,Emory Badminton Fall League 2023,16
YONEX Dutch Junior International 2019,YONEX German Junior 2019,218
YONEX Dutch Junior International 2019,YONEX Dutch Junior International 2020,91
YONEX Dutch Junior International 2019,YONEX Belgian Junior 2019,58
YONEX Dutch Junior International 2019,YONEX Italian Junior 2019,56
YONEX Dutch Junior International 2019,Danish Junior Cup 2019,55
YONEX Dutch Junior International 2019,Swedish Junior 2019,52
BABOLAT German U17 Open 2019,VICTOR JOT U17 2019,75
BABOLAT German U17 Open 2019,German Ruhr U17 International 2019,68
BABOLAT German U17 Open 2019,YONEX Belgian Junior 2021,35
YONEX Belgian Junior 2019,German Ruhr U19 International 2019,53
Swedish Youth Games (U17) 2019,U17 Danish Junior Cup 2019,60
Swedish Youth Games (U17) 2019,German Ruhr U17 International 2019,51
YONEX France U17 Open 2019,VICTOR JOT U17 2019,81
YONEX France U17 Open 2019,BABOLAT French U17 International 2019,56
YONEX France U17 Open 2019,Spanish Junior International 2021,51
YONEX France U17 Open 2019,BABOLAT French U17 International 2018,50
YONEX France U17 Open 2019,Spanish U17 International 2019,40
German Ruhr U17 International 2019,YONEX German Ruhr U19 International 2021,45
Louisville Badminton Open 2023,University of Kentucky 2023 Spring Open,28
NABA 2023 Intercity Badminton Tournament,XMASHAN sa Houston 2023,21
NABA 2023 Intercity Badminton Tournament,BWF TOURNAMENT 2020,1
IV GUATEMALA INTERNATIONAL JUNIOR 2017,V Junior International Guatemala 2018,19
Yonex Lithuanian Junior 2015,Yonex Estonian Junior 2015,44
Yonex Lithuanian Junior 2015,YONEX Lithuanian Junior 2016,35
Yonex Lithuanian Junior 2015,Finnish Junior 2015,25
Carebaco Jr. International 2018,2019 Carebaco Junior International,14
